body,link
" ,به گزارش ""ورزش سه""، باشگاه آلمانی طی 2 سال آتی سالانه 5 میلیون یورو به بایرن پرداخت خواهد کرد و همچنین دستمزد خامس شامل سال اول 8 و سال دوم 8.2 میلیون یورو به طور کامل بر عهده بایرن خواهد بود., , , , ,در این میان رئال ملزم به پرداخت هزینه ای برای خامس نیست و با توجه به بندهای موجود در قرارداد، ارقام ذکر شده ممکن است با توجه به عملکرد احتمالی خوب خامس افزایش چشمگیری یابد., ,اما در پایان این 2 فصل، بایرن مونیخ هیچ اجباری برای خرید خامس ندارد و می تواند او را دوباره به رئال بازگرداند اما اگر خواهان این بازیکن بود، باید 35 میلیون یورو به رئال پرداخت کند., ,رئال مادرید تا سال 2020 با خامس قرارداد دارد و می تواند در صورت عدم نیاز بایرن، وی را به تیم دیگری واگذار کند.",http://www.varzesh3.com/news/1426741/حقایقی-در-مورد-انتقال-عجیب-خامس-به-بایرن-مونیخ
"به گزارش ""ورزش سه""، امروز شاهد دو واکنش متفاوت از دو نشریه اصلی بارسلونا بودیم., , , , ,اسپورت از تلاش دوباره بارسا برای جذب پائولینیوی برزیلی خبر داده(بارسلونا تاکنون دو پیشنهاد برای جذب پائولینیو ارائه داده که هر دو رد شده اند و گویا این بار پیشنهاد آنها 25+2 میلیون یورو خواهد بود) ولی موندودپورتیوو ادعا کرده است که مدیران بارسا فعلا جذب پائولینیو را متوقف کرده و در انتظار روشن شدن وضعیت وراتی هستند.,به ادعای این منبع، بارسلونا هیچ عجله ای برای جذب هافبک برزیلی گوانگژو ندارد چرا که پس از پیوستن سبایوس به رئال، جذب پائولینیو نمی تواند پاسخ مناسبی از سوی آبی اناری ها باشد., , , , ,پائولینیو هرچند در تیم ملی برزیل جایگاه ثابتی دارد ولی سن تقریبا بالای او(29) و همچنین حضورش در لیگ سطح پایین چین، هرگز هواداران بارسا را قانع نخواهد کرد. در بارسلونا بسیار امیدوار بودند تا دنی سبایوس به عنوان یک هافبک جوان و آینده دار به خدمت گرفته شده و در آینده ای نزدیک بتواند جانشین اینیستا شود اما او در نهایت رئال را ترجیح داد. به همین دلیل جذب پائولینیو نمی تواند پاسخ مناسبی به خرید جدید کهکشانی ها باشد., ,از سوی دیگر فصل نقل و انتقالات در چین 6 روز دیگر به اتمام می رسد و پائولینیو با علم به این موضوع دوست دارد هر چه زودتر به بارسلونا ملحق شود چرا که در غیر این صورت گوانگژو فرصتی برای پیدا کردن جانشین او نخواهد داشت و جدایی اش بسیار پیچیده می شود., ,باید دید در نهایت ادعای اسپورت به واقعیت نزدیک تر است یا موندودپورتیوو., , , , ",http://www.varzesh3.com/news/1426459/بارسا-در-انتظار-فرصتی-مناسب-برای-پاسخ-به-رئال
"به گزارش ""ورزش سه""، دنی آلوس، ستاره سابق بارسا و یوونتوس که هنوز تیم بعدی خود را مشخص نکرده، به انسانی که حرف هایش را بی پرده و رک می زند مشهور است. گاهی همین زبان سرخ باعث دردسرهای زیادی برای او شده اما ستاره برزیلی هرگز حاضر نشده شیوه رفتاری خود را تغییر دهد., , , , ,چند روز پیش رئیس بارسلونا در مصاحبه با نشریات کاتالونیا به صحبت در مورد دلیل جدایی آلوس(تابستان 2016) پرداخت و گفت که این مساله به مشکلات شخصی آلوس مربوط می شد که فقط او،همسرش و من از آن مطلع هستیم.,واکنش آلوس به این اظهارنظر بارتومئو بسیار تند بود و او در توئیتر خود به رئیس بارسلونا لقب دروغگو را داد و اشاره کرد که بارتومئو دروغ گفته است., ,لازم به ذکر است که آلوس پس از جدایی از یووه در حال حاضر بدون تیم است و از پی اس جی به عنوان محتمل ترین مقصد برای او نام برده می شود.",http://www.varzesh3.com/news/1426468/آلوس-رئیس-بارسلونا-یک-دروغگو-است
"به گزارش ""ورزش سه""، جیائین امروز در نشستی با کادر فنی و بازیکنان گوانگژو شرکت کرد و سپس پاسخگوی سوالات خبرنگاران شد. محور اصلی سوالات در رابطه با احتمال انتقال پائولینیو به بارسلونا بود. باشگاه اسپانیایی تاکنون دو پیشنهاد 20 و 25 میلیون یورویی برای هافبک برزیلی ارائه داده و هر دو نیز رد شده اند.,امروز نشریه اسپورت نیز ادعا کرد که پیشنهاد سوم بارسا 25+2 میلیون یورو خواهد بود., , , , ,مالک گوانگژو در این رابطه گفت:« پاسخ ما روشن است. بارسلونا اگر پائولینیو را می خواهد، باید تا زمستان صبر کند. در حال حاضر نیم فصل دوم فوتبال چین تازه شروع شده و ما قصد نداریم بهترین بازیکن خودمان را در چنین مقطعی از دست بدهیم. می دانم که پائولینیو دوست دارد به بارسلونا بپیوندد ولی او باید باشگاه را نیز درک کند.,در زمستان آماده مذاکره خواهیم بود ولی حالا نه.», ,گوانگژو در حال حاضر صدر نشین فوتبال چین است و در جام حذفی و لیگ قهرمانان آسیا نیز از مدعیان جدی قهرمانی محسوب می شود.",http://www.varzesh3.com/news/1426481/پاسخ-نهایی-مالک-گوانگژو-به-بارسا-در-مورد-پائولینیو
"به گزارش ""ورزش سه""، آنتونیو کونته پیش از این به کاستا اعلام کرده بود که قصد ادامه همکاری با او را ندارد و باید از تیم جدا شود. کاستا  قصد پیوستن به اتلتیکومادرید را  دارد ولی به علت محرومیت این تیم از نقل و انتقالات، احتمالا نیم فصل در بشیکتاش بازی خواهد کرد و در زمستان به تیم سابقش خواهد پیوست., , , , ,باشگاه چلسی به کاستا یک هفته فرصت داده تا تکلیف آینده اش را مشخص کند. هفته آینده چلسی راهی تور آسیا خواهد شد و کاستا باید تا پیش از شروع تمرینات پیش فصل، انتقالش را قطعی کند. تا به اینجا پیشنهاد 28 میلیونی اتلتیکو برای جذب او توسط چلسی رد شده و باید دید که روخی بلانکو در نهایت با چه قیمتی مهاجم سابق خود را جذب خواهد کرد., ",http://www.varzesh3.com/news/1426467/غیبت-دیگو-کاستا-در-تمرینات-چلسی
"به گزارش ""ورزش سه""، هفته گذشته جدایی په په از رئال مادرید قطعی شد و او به بشکیتاش پیوست. به این ترتیب کاپیتان سوم رئال دیگر جایی در این تیم نخواهد داشت و از این پس رونالدو به عنوان کاپیتان سوم کهکشانی ها جای په په را اشغال می کند., ,سال گذشته رونالدو توانست به عنوان کاپیتان چهارم رئال مطرح شود هرچند که او اولین بار 6 ژانویه 2013 برابر سوسیداد و در غیاب کاسیاس، ایگواین، راموس، په په و مارسلو توانست بازوبند کاپیتانی را بر بازو ببندد و رئال نیز 4-3 پیروز شد., , , , ,به این ترتیب در فصل آتی رونالدو می تواند در تعیین پاداش بازیکنان رئال در صورت کسب عناوین قهرمانی، انتقال صحبت ها و نظرات بازیکنان رئال به کادر فنی و نیز مدیریت باشگاه و همچنین برگزاری جلسات با بازیکنان در صورت مشاهده افت کیفی و دینامیکی تیم، نقش موثرتری نسبت به گذشته ایفا کند.,در حال حاضر راموس و مارسلو، کاپیتان های اول و دوم رئال هستند. کریم بنزما هم پیش بینی می شود به عنوان کاپیتان چهارم انتخاب شود.,لازم به ذکر است که رونالدو سالهاست کاپیتان اول تیم ملی پرتغال محسوب می شود و پس از قهرمانی این تیم در یورو 2016 این رونالدو بود که جام را بالای سر برد., ",http://www.varzesh3.com/news/1426476/ارتقای-رتبه-و-اختیارات-جدید-برای-رونالدو-در-رئال
"به گزارش ""ورزش سه""، باشگاه دورتموند به صورت رسمی اعلام کرد که رافائل گوئریرو مدافع پرتغالی این باشگاه که در رقابت های جام کنفدراسیون ها مصدوم شد بین ۳ تا ۴ ماه از میادین به دور خواهد بود., , , , ,گوئریرو در جریان بازی مقابل روسیه از ناحیه مچ پا دچار آسیب دیدگی شدید شد و پس از انجام جراحی روی مچ پای او پزشکان تشخیص دادند که او این مدت زمان را باید دور از میادین سپری کند. گوئریرو تابستان گذشته به دورتموند پیوست و فصل گذشته هم چند بار به دلیل مصدومیت مقاطع طولانی مدت از میادین دور بود.",http://www.varzesh3.com/news/1426502/دوری-طولانی-مدت-مدافع-پرتغالی-دورتموند-از-میادین
"به گزارش ""ورزش سه""، رئال مادرید فصل نقل و انتقالات را به خوبی آغاز کرد و به نظر می رسد که تنها در جستجوی جذب یک بازیکن دیگر باشد(امباپه)., , , , ,دو ماه پیش بود که رسانه های اسپانیایی خبر از توافق بین رئال و تئو هرناندز، مدافع اتلتیکو که قرضی برای آلاوس بازی می کرد، دادند. هفته گذشته باشگاه اتلتیکو نیز رسما اعلام کرد که با جدایی تئو موافقت کرده است.,دفاع چپ فرانسوی 19 ساله، امروز صبح در کلینیک رئال حاضر شد و تست های پزشکی را پشت سر گذاشت. او قرار است ساعت 22 امشب در برنابئو به هواداران معرفی شود., , , , ,دیگر بازیکنی که امروز در کلینیک رئال حاضر خواهد شد، سبایوس نام دارد. بهترین بازیکن جوانان اروپا که در دو فصل گذشته برای بتیس باز می کرد، دو روز پیش با رئال به توافق رسید و امروز رسما قرارداد خود را امضا خواهد کرد.,هافبک خوش تکنیک 20ساله که از او به عنوان جانشینی برای مودریچ در آینده ای نه چندان دور یاد می شود، به زودی به هواداران معرفی خواهد شد. او شب گذشته با پروازی اختصاصی از خرز به مادرید آمد و پس از امضای قرارداد بار دیگر راهی تعطیلات خواهد شد. سبایوس از 11 روز دیگر به تمرینات رئال در امریکا اضافه می شود.",http://www.varzesh3.com/news/1426458/امشب،-رونمایی-از-دو-خرید-جدید-رئال
"به گزارش ""ورزش سه""، رونی از رده های سنی اورتون رشد کرد و به تیم اصلی منتقل شد ولی سال 2004 از این تیم جدا شد و به منچستریونایتد پیوست. او 559 بازی برای یونایتد انجام داد و 253 گل به ثمر رساند. حال هم تیمی سابقش پس از خداحافظی او با یونایتد، به تمجید از او پرداخت., , , ,او در اینستاگرام نوشت:"" پسر بچه ای را دیدم که  مدافعان با تجربه انگلیس را به هم ریخته بود و کاری می‌کرد که حرکات تدافعی آنها بسیار ابتدایی به نظر بیاید. توپ را از آنها عبور می‌داد و به راحتی آن را از کنار گلر وارد دروازه می‌کرد. طوری می‌دوید که انگار در محوطه بازی بچه ها حضور دارد. این اولین باری بود که من رونی را دیدم، در تمرینات انگلیس. پس از آن او 253 گل برای یونایتد به ثمر رساند. او یک اسطوره بزرگ است، شخصیتی فوق العاده و خانواده ای استثنایی دارد. در فصل جدید زندگی ات برایت آرزوی موفقیت می‌کنم.""",http://www.varzesh3.com/news/1426470/تمجید-ویژه-فردیناند-از-وین-رونی
"به‌ گزارش ""ورزش سه""، نخستین ال کلاسیکو این فصل، هفتم مرداد ماه در استادیوم هارد ‌راک میامی برگزار می‌شود.,این دیدار برای آمریکایی‌ها ویژه‌ است چون برای نخستین بار ال کلاسیکو در این کشور برگزار می‌شود اما نکته قابل توجه قیمت بلیت‌های این بازی است که تا ۱۰ هزار دلار می‌رسد. ارزان‌ترین بلیت ۲۸۳ دلار است. استقبال از این دیدار به حدی بود که بلیت‌ها تنها در دو روز فروخته شد., , , , ,ورزشگاه میزبان اولین ال کلاسیکو فصل همیشه میزبان رقابت‌های فوتبال آمریکایی بوده است. آمریکا برای نخستین بار میزبان دیدار بارسلونا و مادرید است. تنها ال کلاسیکویی که خارج از مرزهای اسپانیا برگزار شد به سال ۱۹۸۲ برمی‌گردد. این دیدار در سی و یکم می در ونزوئلا برگزار شد و رئال مادرید با تک گل دل بوسکه به پیروزی رسید.,۶۵ هزار تماشاگر می‌توانند شاهد حضور اغلب ستاره‌های دو تیم در این بازی باشند. تنها کریستیانو رونالدو در این بازی نخواهد بود.",http://www.varzesh3.com/news/1426490/بلیط-های-نجومی-برای-اولین-ال-کلاسیکوی-فصل
